indice,titulo,clasificacion,fecha_de_estreno,elenco,duracion,duracion_cantidad,duracion_minOSeason,lista_de_generos,plataforma
9205,EVA,movie,2021,PEGGY OVIRE,110 min,110,min,drama,amazon
9206,Eternal,movie,2004,"Conrad Pla, Caroline Neron, Victoria Sanchez, Sarah Manninen, Ilona Elkin, Nick Baillie, Liane Balaban, Arthur Holden, Joey Pla, James A. Woods, Luke Belander, Kathleen Munroe",108 min,108,min,"horror, suspense",amazon
9207,Emerald Falls,movie,2008,"Georgie Parker, Thom Green, Vince Colosimo",92 min,92,min,suspense,amazon
9208,El Topo,movie,2021,"Néstor Jiménez, Ketty de la Iglesia, Albertico Pujols Acosta, Héctor Hechemendía",90 min,90,min,drama,amazon
9209,Eddie Izzard: Unrepeatable,movie,1994,Eddie Izzard,76 min,76,min,"arts, entertainment, and culture, comedy, special interest",amazon
9210,Eddie Izzard: Stripped,movie,2009,Eddie Izzard,104 min,104,min,"arts, entertainment, and culture, comedy, special interest",amazon
9211,Duplicity,movie,2009,"Clive Owen, Julia Roberts, Tom Wilkinson, Paul Giamatti, Dan Daily, Lisa Roberts Gillan, David Shumbris, Rick Worthy, Oleg Shtefanko, Denis O'Hare, Kathleen Chalfant, Khan Baykal, Thomas McCarthy, Wayne Duvall, Fabrizio Brienza, Lucia Grillo, Carrie Preston, Conan McCarty, Kirby Mitchell, Christopher Denham, Christopher Mann, Seth Kirschner, Karl Bury, Happy Anderson, James Cronin, Esther Pringle, Mary Anne Prevost, Annabel Seymour, Sandy Hamilton, Ulrich Thomsen, Helen Elswit, George Aloi, Sakinah Bingham, Maria Di Angelis, Cassidy Gard, Ronald E. Giles, Jeff Grossman, Moe Hindi, Emily Hughes, Michael Jeremiah, Edgar Jimz, Edward M. Kelahan, Arnold Y. Kim, Ashley Klein, Stanley Krajewski, Frosty Lawson, Evan Lewis, Kimberly Magness, Chris Margaritis, Cristina Marie, Michele Melega, Alexi Melvin, Eliezer Meyer, Christopher Moser, Andrea Osv??rt, Gina Priano, D. Justyn Ryan, Ken Sladyk, Brandon Slagle, Robert T. Striem, Nico Toffoli, Tamara Torres, Darly Wanatick",125 min,125,min,"drama, suspense",amazon
9212,Doorways,movie,1994,"George Newbern, Anne Le Guernec",83 min,83,min,"action, science fiction, suspense",amazon
9213,Dolls,movie,1986,"Guy Rolfe, Stephen Lee, Carolyn Purdy-Gordon, Ian Patrick Williams, Carrie Lorraine, Bunty Bailey, Cassie Stuart",78 min,78,min,horror,amazon
9214,Die Hard: With a Vengeance (4K UHD),movie,1995,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene, Colleen Camp, Larry Bryggman, Sam Phillips",129 min,129,min,"action, adventure",amazon
9215,Die Hard with a Vengeance,movie,1995,"Bruce Willis, Jeremy Irons, Samuel L. Jackson",129 min,129,min,suspense,amazon
9216,Die Hard,movie,1988,"Bruce Willis, Alan Rickman, Bonnie Bedelia",132 min,132,min,suspense,amazon
9217,Dennis Gaxiola: Before the Wall Goes Up,movie,2017,Dennis Gaxiola,47 min,47,min,"arts, entertainment, and culture, comedy, special interest",amazon
9218,Death Wish V: The Face of Death,movie,1994,"Charles Bronson, Ken Welsh, Lesley-Anne Down, Michael Parks, Saul Rubinek",95 min,95,min,"action, drama",amazon
9219,DC Sniper,movie,2010,"Ken Foree, Ulli Lommel, Christopher Kriesa",75 min,75,min,"action, suspense",amazon
9220,Creepy Clowns,movie,2021,"Heather Drew, Edward X. Young, Daylan Ludemann",80 min,80,min,"horror, suspense",amazon
9221,Corey Rodrigues: People Whisperer,movie,2018,Corey Rodrigues,45 min,45,min,"arts, entertainment, and culture, comedy, special interest",amazon
9222,Come Away Home,movie,2005,"Jordan-Claire Green, Lea Thompson, Paul Dooley",102 min,102,min,drama,amazon
9223,Color of Love: The Jacey Story,movie,2000,"Gena Rowlands, Louis Gossett Jr., Penny Fuller",87 min,87,min,drama,amazon
9224,Clip: Validation Check CAPI,movie,2021,sin dato,1 min,1,min,action,amazon
9225,Chehre,movie,2021,"Amitabh Bachchan, Emraan Hashmi, Krystle Dsouza, Riya Chakraborty, Annu Kapoor, Dhritiman Chattergee, Raghubir Yadav, Siddhanth Kapoor",139 min,139,min,suspense,amazon
9226,Chattahoochee,movie,1990,"Gary Oldman, Dennis Hopper, Frances McDormand, Pamela Reed, Matt Craven, William De Acutis, Gary Klar, Lee Wilkof",98 min,98,min,drama,amazon
9227,Chaos And Kindness,tv show,2021,"Justin Spencer, Ryan Vezina, Tony Zane",1 Season,1,season,"comedy, documentary, drama",amazon
9228,Caveman,movie,1981,"Ringo Starr, Dennis Quaid, Shelley Long, Jack Gilford, Cork Hubbert, Mark King, Paco Morayta, Evan Kim, Ed Greenberg, Carl Lumbly, Jack Scalici, Gigi Vorgan",92 min,92,min,comedy,amazon
9229,Case Sensitive: The Point of Rescue,movie,2011,"Olivia Williams, Darren Boyd, Rupert Graves, Amy Beth Hayes, Tom Goodman-Hill, Elly Fairman, Geoffrey Streatfeild",91 min,91,min,"drama, suspense",amazon
9230,Carrington,movie,1995,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West, Rufus Sewell, Penelope Wilton",123 min,123,min,"drama, romance",amazon
9231,Capricorn One,movie,1978,"James Brolin, Elliot Gould, Hal Holbrook, Sam Waterson, O.J. Simpson",123 min,123,min,"action, suspense",amazon
9232,Calcutta 71,movie,1972,"Ranjit Mallick, Ajitesh Banerjee, Utpal Dutta",117 min,117,min,drama,amazon
9233,Butterflies,movie,2021,"Bolaji Ogunmola, Pere Egbi, Kachi Nnochiri, Joshua Richard",112 min,112,min,drama,amazon
9234,Butch Cassidy and the Sundance Kid (4K UHD),movie,1969,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Jeff Corey, Henry Jones",110 min,110,min,"action, adventure, drama",amazon
9235,Butch Cassidy and the Sundance Kid,movie,1969,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Henry Jones, Jeff Corey, George Furth, Cloris Leachman, Ted Cassidy, Kenneth Mars, Donnelly Rhodes, Jody Gilbert, Timothy Scott, Don Keefer, Charles Dierkop, Francisco Cordova, Nelson Olmstead, Paul Bryar, Sam Elliott, Claude Akins",110 min,110,min,"action, drama, western",amazon
9236,Burning Man: The Musical,movie,2021,"Morgan Siobhan Green, Tally Session, Max Crumm, Michelle Duffy, Troy Iwata, Allison Griffith, Mila Jam, Ysabel Jasa, Michael F. McBride, Ari Grooves",80 min,80,min,"arts, entertainment, and culture, comedy",amazon
9237,Burn Country,movie,2016,"Dominic Rains, Melissa Leo, James Franco, Rachel Brosnahan, Thomas Jay Ryan, Tim Kniffin",104 min,104,min,"drama, suspense",amazon
9238,Bulworth,movie,1998,"Warren Beatty, Halle Berry, Don Cheadle, Oliver Platt, Paul Sorvino, Jack Warden, Isaiah Washington, Joshua Malina, Christine Baranski, Richard Sarafian, Amiri Baraka, Sean Astin, Laurie Metcalf, Wendell Pierce, Michele Morgan, Ariyan Johnson, Graham Beckel, Nora Dunn, Jackie Gayle",108 min,108,min,"comedy, drama",amazon
9239,Bullets Don't Argue,movie,1964,"Rod Cameron, Angel Aranda, Vivi Bach",89 min,89,min,western,amazon
9240,Bucket,tv show,2017,"Frog Stone, Miriam Margolyes",1 Season,1,season,"comedy, drama",amazon
9241,BT: My Life as I Know It Now!,movie,2018,BT,32 min,32,min,"arts, entertainment, and culture, comedy, special interest",amazon
9242,Broken English,movie,1994,"Rade Serbedzija, Aleksandra Vujcic, Julian Arahanga, Marton Csokas, Temuera Morrison",92 min,92,min,"arthouse, drama, romance",amazon
9243,Boris and Natasha: The Movie,movie,1992,"Sally Kellerman, Dave Thomas, Andrea Martin, John Calvin, Paxton Whitehead, Larry Cedar, Christopher Neame, Alex Rocco, John Candy, Anthony Newley",88 min,88,min,"action, comedy",amazon
9244,Blue Crush 2,movie,2011,"Sasha Jackson, Elizabeth Mathis, Gideon Emery, Ben Milliken, Sharni Vinson, Chris Fisher, Rosy Hodge",113 min,113,min,"action, drama, sports",amazon
9245,Blizzard,movie,2004,"Brenda Blethyn, Brittany Bristow, Whoopi Goldberg, Christopher Plummer, Jennifer Pisana, Josh Buckle, Stephanie Morgenstern",100 min,100,min,kids,amazon
9246,Blippi's Spooky Spells Halloween,movie,2021,Clayton Grimm,41 min,41,min,kids,amazon
9247,Blacula,movie,1972,"William Marshall, Denise Nicholas, Vonetta McGee, Gordon Pinsent, Thalmus Rasulala",93 min,93,min,horror,amazon
9248,"Black Coal, Thin Ice",movie,2014,"Fan Liao, Gwen Lun",109 min,109,min,"action, drama",amazon
9249,Black As Night,movie,2021,"Asjha Cooper, Fabrizio Guido, Craig Tate, Keith David, Mason Beauchamp, Abbie Gayle",87 min,87,min,horror,amazon
9250,Bingo Hell,movie,2021,"Adriana Barraza, L. Scott Caldwell, Joshua Caleb Johnson, Richard Brake",86 min,86,min,horror,amazon
9251,Bhaloo,movie,1980,"Nana Patekar, Uma Bhende, Nilu Phule, Vikram Gokhale, Ranjana",135 min,135,min,drama,amazon
9252,Beer,movie,1985,"Loretta Swit, Rip Torn, Kenneth Mars, David Alan Grier, William Russ, Saul Stein, Peter Michael Goetz",83 min,83,min,comedy,amazon
9253,Banshiwala,movie,2010,"Paoli Dam, Shayan Munshi, Soumitra Chatterjee, Indrani Haldar",101 min,101,min,drama,amazon
9254,Bad Influence,movie,1990,"Rob Lowe, James Spader, Lisa Zane, Marcia Cross, Christian Clemson, Kathleen Wilhoite",100 min,100,min,"drama, suspense",amazon
9255,Babes in Toyland (1997),movie,1997,"Bronson Pinchot, Charles Nelson Reilly, Christopher Plummer, James Belushi, Lacey Chabert, Joseph Ashton",74 min,74,min,"animation, kids",amazon
9256,Babes in Toyland (1986),movie,1986,"Drew Barrymore, Keanu Reeves, Richard Mulligan, Eileen Brennan, Jill Schoelen, Googy Gress, Pat Morita, Walter Buschhoff, Shari Weiser",96 min,96,min,"arts, entertainment, and culture",amazon
9257,Atonement,movie,2007,"Saoirse Ronan, Ailidh Mackay, Brenda Blethyn, Julia West, James McAvoy, Harriet Walter, Keira Knightley, Juno Temple, Felix von Simson, Charlie von Simson, Alfie Allen, Patrick Kennedy, Benedict Cumberbatch, Peter Wight, Leander Deeny, Peter O'Connor, Daniel Mays, Nonso Anozie, Michel Vuillermoz, Lionel Abelanski, Nick Bagnall, Charlie Banks, Jamie Beamish, Madeline Crowe, Scarlett Dalton, Michelle Duncan, Matthew Forest, Romola Garai, Vivienne Gibbs, Olivia Grant, Ben Harcourt, Jack Harcourt, Paul Harper, Mark Holgate, Ryan Kiggell, Katy Lawrence, Neil Maskell, Gina McKee, Anthony Minghella, Jade Moulla, John Normington, Georgia Oakley, Alice Orr-Ewing, Catherine Philps, Jay Quinn, Vanessa Redgrave, Bryony Reiss, J?r?mie Renier, Kelly Scott, Billy Seymour, Sarah Shaul, Anna Singleton, Richard Stacey, Emily Thomson, Tilly Vosburgh, Ben Webb",123 min,123,min,"drama, suspense",amazon
9258,Assassination,movie,2015,"Jun Ji-hyun, Jung-jae Lee, Ha Jung-woo",140 min,140,min,action,amazon
9259,Andy Woodhull: World's Greatest Stepdad,movie,2018,Andy Woodhull,42 min,42,min,"arts, entertainment, and culture, comedy, special interest",amazon
9260,An All Dogs Christmas Carol,movie,1998,"Charles Nelson Reilly, Sheena Easton, Ernest Borgnine, Dom DeLuise, Bebe Neuwirth, Steven Weber",73 min,73,min,kids,amazon
9261,Amazing Grace (1974),movie,1974,"Jackie ""Moms"" Mabley, Slappy White, Rosalind Cash, Moses Gunn, Butterfly McQueen",98 min,98,min,comedy,amazon
9262,All's Faire in Love,movie,2009,"Christina Ricci, Matthew Lillard, Ann-Margret, Cedric the Entertainer",108 min,108,min,comedy,amazon
9263,Agathiyar,movie,1972,"Sirkazhi Govindarajan, T. R. Mahalingam, A. V. M. Rajan, R. S. Manohar",153 min,153,min,drama,amazon
9264,"Adios, Sabata",movie,1971,"Yul Brynner, Dean Reed, Pedro Sanchez",105 min,105,min,adventure,amazon
9265,Acts of Defiance,movie,1992,sin dato,105 min,105,min,documentary,amazon
9266,Across the Moon,movie,1994,"Christina Applegate, Elizabeth Pea",87 min,87,min,drama,amazon
9267,A Good Year,movie,2006,"Russell Crowe, Albert Finney, Marion Cotillard, Abbie Cornish, Tom Hollander, Freddie Highmore",118 min,118,min,comedy,amazon
9268,A Chorus Line,movie,1985,"Michael Douglas, Terrence Mann, Michael Blevins, Yamil Borges, Jan Gan Boyd, Sharon Brown, Gregg Burge, Cameron English, Tony Fields, Nicole Fosse, Vicki Frederick, Michelle Johnston, Janet Jones, Pam Klinger, Audrey Landers, Charles McGowan, Alyson Reed",118 min,118,min,"arts, entertainment, and culture, drama",amazon
9269,A Bucket of Blood,movie,1959,"Dick Miller, Barboura Morris, Antony Carbone, Julian Burton, Ed Nelson, John Brinkley, John Shaner, Judy Bamber",65 min,65,min,"comedy, horror",amazon
9270,83 degrees - ski the north,movie,2019,"Matthias Mayr, Matthias Haunholder",55 min,55,min,"action, documentary, sports",amazon
9271,66 Sadashiv,movie,2019,"Mohan Joshi, Vandana Gupte, Yogesh Deshpande, Apoorva Modak, Jayant Sawarkar, Vishakha Subhedar, Pravin Tarde",135 min,135,min,"comedy, drama",amazon
9272,1984,movie,1985,"John Hurt, Richard Burton, Suzanna Hamilton",111 min,111,min,drama,amazon
9273,10 to Midnight,movie,1983,"Charles Bronson, Lisa Eilbacher, Andrew Stevens, Gene Davis, Geoffrey Lewis, Wilford Brimley",102 min,102,min,"action, adventure",amazon
9274,Zombie Warz: Falls The Shadow,movie,2011,Ron Berryessa,89 min,89,min,"action, horror",amazon
9275,Zameer,movie,1975,"Shammi Kapoor, Saira Banu, Amitabh Bachchan, Madan Puri, Indrani Mukherjee, Ramesh Deo, Jagdish Raj",130 min,130,min,"action, drama",amazon
9276,Youth in Oregon,movie,2017,"Frank Langella, Billy Crudup, Christina Applegate, Mary Kay Place, Josh Lucas",100 min,100,min,"comedy, drama",amazon
9277,Welcome To The Jungle,movie,2014,"Adam Brody, Rob Huebel, Jean-Claude Van Damme, Kristen Schaal, Megan Boone, Dennis Haysbert, Eric Edelstein, Aaron Takahashi, Kristopher Van Varenberg, Bianca Bree",94 min,94,min,comedy,amazon
9278,Twelve,movie,2010,"Chace Crawford, Emma Roberts, Rory Culkin, 50 Cent, Zo' Kravitz",95 min,95,min,"drama, suspense",amazon
9279,Tuck Jagadish (Malayalam),movie,2021,"Nani, Ritu Varma, Aishwarya Rajesh, Jagapathi Babu, Daniel Balaji, Nasser, Parvathi T, Rohini, Rao Ramesh, Naresh",145 min,145,min,"drama, kids",amazon
9280,Travel Man: 48 Hours in...,tv show,2018,"Richard Ayoade, Jessica Knappett",7 Seasons,7,season,"action, adventure, comedy",amazon
9281,Totò Eva e il pennello proibito,movie,1959,"Louis de Funès, Abbe Lane, Totò",99 min,99,min,comedy,amazon
9282,The Selling,movie,2021,"Gabriel Diani, Janet Varney, Barry Bostwick, Etta Devine",90 min,90,min,"comedy, horror",amazon
9283,The Right Distance,movie,2007,"Giovanni Capovilla, Valentina Lodovini, Ahmed Hafiane, Giuseppe Battiston",106 min,106,min,"drama, suspense",amazon
9284,The Prophecy 2,movie,2021,Iyke Ogbonna George Clinting Ngozi Achms,88 min,88,min,drama,amazon
9285,The Prophecy,movie,2021,Iyke Ogbonna George Clinting Ngozi Achms,124 min,124,min,drama,amazon
9286,The Morning After,movie,2018,"Joel David Moore, Madeline Zima, Abraham Benrubi, Stephanie Faracy",84 min,84,min,"comedy, drama, romance",amazon
9287,The Magic Voyage,movie,1992,"Corey Feldman, Dom DeLuise, Dan Haggerty, Mickey Rooney",80 min,80,min,"action, kids",amazon
9288,The Last Exorcism,movie,2010,"Patrick Fabian, Ashley Bell, Iris Bahr, Louis Herthum, Caleb Landry Jones",88 min,88,min,horror,amazon
9289,The Lady Doctor,movie,1957,"Vittorio De Sica, Abbe Lane, Totò",99 min,99,min,comedy,amazon
9290,The Intruder,movie,1956,"Amedeo Nazari, Lea Padovani",99 min,99,min,drama,amazon
9291,The Ice Forest,movie,2014,"Emir Kusturica, Kseniya Rappoport, Domenico Diele, Adriano Giannini",107 min,107,min,"action, drama, suspense",amazon
9292,The Dog Who Saved Christmas,movie,2009,"Dean Cain, Gary Valentine, Mario Lopez, Elisa Donovan",88 min,88,min,"action, comedy, kids",amazon
9293,The Breaking Point,movie,2021,"Diana Lovell, Erik Grey, Sean Nelson, Reggie Peters, Roy Williams Jr.",73 min,73,min,"action, drama, suspense",amazon
9294,The Boyfriend School,movie,1990,"Steve Guttenberg, Jami Gertz, Shelley Long, Kyle MacLachlan, Madchen Amick, Kevin Scannell",103 min,103,min,comedy,amazon
9295,Tales of Para Handy,tv show,1995,"Gregor Fisher, Sally Howitt, Sean Scanlon, Rikki Fulton",2 Seasons,2,season,tv shows,amazon
9296,Swallows and Amazons,movie,2017,"Bobby McCulloch, Dane Hughes, Kelly Macdonald, Teddie Malleson-Allen, Orla Hill, Andrew Scott, Dan Skinner, Rafe Spall, Harry Enfield, Jessica Hynes, Fenella Woolgar, Seren Hawkes, Hannah-Jayne Thorp",97 min,97,min,"action, drama, kids",amazon
9297,Strathblair,tv show,1993,"Francesca Hunt, David Robb, Andrew Kier",2 Seasons,2,season,drama,amazon
9298,Six Three Times,movie,2021,"Jeanne Young, Denis Vikhliantsev",50 min,50,min,drama,amazon
9299,Sins Of Desire,movie,1993,"Gail Thackray, John Henry Richardson, Delia Sheppard",91 min,91,min,"drama, suspense",amazon
9300,Side Chicks,movie,2021,Tana Adelana Martha Ankomah Seun Akindele,75 min,75,min,"drama, romance",amazon
9301,Shutter,movie,2017,"Sachin Khedekar, Sonalee Kulkarni, Amey Wagh, Prakash Bare, Jaywant Wadkar",122 min,122,min,"drama, suspense",amazon
9302,Savage Land,movie,1994,"Corbin Bernsen, Vivian Schilling, Brion James, Graham Greene",96 min,96,min,"kids, western",amazon
9303,Sashinka,movie,2018,"Carla Turcotte, Natalia Dontcheva, David Giguère",79 min,79,min,"comedy, drama",amazon
9304,Rupert,tv show,1995,"Julie Lemieux, Torquil Campbell, Hadley Kay, Guy Bannerman, Valerie Boyle, Keith White, Colin Fox",2 Seasons,2,season,"animation, kids",amazon
9305,Roommate (Hindi),movie,2021,"Naren, Kadhambari Sowmya",102 min,102,min,"drama, suspense",amazon
9306,Red Dog,movie,2011,"Josh Lucas, Rachael Taylor, Rohan Nichol",92 min,92,min,comedy,amazon
9307,Project A-ko 2: Plot of the Daitokuji Financial Group,movie,1987,"Miki Itô, Emi Shinohara, Michie Tomizawa",49 min,49,min,"animation, anime",amazon
9308,Perfect Romance,movie,2004,"Kathleen Quinlan, Lori Heuring, Henry Ian Cusick, Michael Trucco",90 min,90,min,comedy,amazon
9309,Pati Patni Aur Woh,movie,1978,"Sanjeev Kumar, Vidya Sinha, Ranjeeta Kaur, Asrani, Om Shivpuri, Nana Palsikar, Parveen Babi",130 min,130,min,comedy,amazon
9310,Paradise by the Dashboard Light,movie,2016,"Sarah T. Cohen, Danny Zuhlke, Madison Fitts, Sea Shimooka, Dallas Mahan, Alfredo Trueba, Nicolette Acosta, Sawyer Greenberg, Sydney Gross, Alexandra Gunst, Cassidy Rose Gyetvan, Andy Jean Louis, Alison Lopresti, Sydney Love, Fiona Malone, Francesca Reale, Melissa Ruiz, Lexie Shoaibi, Portland Thomas, Peyton Young",42 min,42,min,drama,amazon
9311,Outlaws: The Legend of O.B. Taggart,movie,1995,"Ben Johnson, Mickey Rooney, Randy Travis, Ned Beatty, Ernest Borgnine",99 min,99,min,western,amazon
9312,Nanak Dukhiya Sub Sansar,movie,1969,"Dara Singh, Balraj Sahni, Prithviraj Kapoor, Pran, Achala Sachdev, Ram Mohan, Meena Rai",132 min,132,min,"action, drama",amazon
9313,Nambiar (Hindi),movie,2016,"Srikanth, Santhanam, Sunaina",123 min,123,min,"comedy, drama, science fiction",amazon
9314,Naam,movie,2018,"Tovino Thomas, Vineeth Sreenivasan, Gautham Menon, Rahul Madhav, Shabareesh Varma, Renji Panicker, Saiju Kurup, Gayathri Suresh, Thampy Antony, Aditi Ravi, Mareena Michael Kurisingal",132 min,132,min,"drama, romance",amazon
9315,Mugguru Monagallu,movie,2021,"Srinivas Reddy, Dheekshith Shetty, Vennela Rama Rao, Twisha Sharma, Raja Ravindra, TNR, Swetaa Varma, Nassar, Bhadram, Surya",108 min,108,min,"comedy, drama, suspense",amazon
9316,Like Dogs,movie,2021,"Annabel Barrett, Ignacyo Matynia, Ryan Tran, Shay Denison, Katy Dore",94 min,94,min,horror,amazon
9317,Let There Be Light,movie,2017,"Mark Henderson, Jeffrey Harris, Michel Laberge",80 min,80,min,"documentary, suspense",amazon
9318,Landscape Artist of the Year,tv show,2015,"Joan Bakewell, Frank Skinner, Kate Bryan, Tai Shan Schierenberg, Katleen Soriano",1 Season,1,season,"documentary, special interest, unscripted",amazon
9319,Kanave Kalaiyadhe,movie,1999,"Murali, Simran, Chinni Jayanth, Charle",159 min,159,min,"drama, romance",amazon
9320,Jack'd Up,movie,2001,"RonReaco Lee, Alexis Fields, Anna Maria Horsford",100 min,100,min,drama,amazon
9321,If You Give a Mouse a Cookie,tv show,2021,"Mason Mahay, Roger Craig Smith, Jessica DiCiccio, Jeff Bennett, Lara Jill Miller, Henry Kaufman, Kyla Kenedy White, Scarlet Estevez, Benji Risley",10 Seasons,10,season,kids,amazon
9322,High Wire,movie,2020,sin dato,52 min,52,min,documentary,amazon
9323,Hawaii,movie,1966,"Julie Andrews, Max von Sydow, Richard Harris, Gene Hackman, Carroll O'Connor, Jocelyne LaGarde, Manu Tupou, Ted Nobriga, Elizabeth Logue, John Cullum, George Rose, Lou Antonio",161 min,161,min,drama,amazon
9324,Halloween With The New Addams Family,movie,1977,"John Astin, Ted Cassidy, Jackie Coogan, Carolyn Jones, Henry Darrow, Jane Rose, Elvia Allman, Ken Weatherwax, Lisa Loring",87 min,87,min,comedy,amazon
9325,Guns of Banaras,movie,2020,"Karan Nath, Nathalia Kaur, Ganesh Venkatraman",127 min,127,min,"action, drama",amazon
9326,Gli Onorevoli,movie,1963,"Peppino De Filippo, Totò",99 min,99,min,comedy,amazon
9327,Get Shorty,movie,1995,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito",105 min,105,min,"comedy, suspense",amazon
9328,Games of Desire,movie,1964,"Ingrid Thulin, Paul Hubschmid",91 min,91,min,romance,amazon
9329,Friends at Last,movie,1995,"Kathleen Turner, Colm Feore, Julie Khaner, Sarah Paulson",92 min,92,min,drama,amazon
9330,Final Run,movie,1999,"Robert Urich, Patricia Kalember, John de Lancie",90 min,90,min,"action, drama",amazon
9331,Farm to Fork to Love,movie,2021,"Maurice Johnson, Meggan Kaiser, Scot Cooper",85 min,85,min,romance,amazon
9332,Exit Humanity,movie,2011,"Brian Cox, Mark Gibson, Dee Wallace, Bill Moseley, Stephen McHattie, Jordan Hayes, Adam Seybold, Ari Millen, Jason David Brown, Sarah Stunt, Christian Martyn, John Geddes, Jesse Thomas Cook, Matt Griffin, Tony Burgess, Tim Fretwell",114 min,114,min,horror,amazon
9333,Evidence of Blood,movie,1988,"David Strathaim, Mary McDonnell",109 min,109,min,drama,amazon
9334,Entanglement,movie,2021,"Cisco Reyes, Jasmine Burke, Omar Gooding, Dennis L.A. White, Tangi Miller, Angie Stone",95 min,95,min,drama,amazon
9335,Electrician,movie,2020,Rory Farrelly,85 min,85,min,"arthouse, drama",amazon
9336,Dreaming of Braddock,movie,2019,"Pedro Monteiro, Augusto Madeira",79 min,79,min,"comedy, drama",amazon
9337,Dive,movie,2021,"Vanessa Schaefer, Shauna Kavanagh, Emmet Ryan, Aidan O'Sullivan, Shauna Dineen, Lukasz Kozanecki, Tara Flynn",86 min,86,min,drama,amazon
9338,Di-Gata Defenders,tv show,2008,"Noah Cappe, Martha MacIsaac, Dan Petronijevic, Stephanie Beard",4 Seasons,4,season,"action, animation, kids",amazon
9339,Deya Neya,movie,1962,"Uttam Kumar, Tanuja, Pahari Sanyal, Kamal Mitra, Tarun Kumar, Shyam Laha, Nripati Chatterjee, Chhaya Devi, Lily Chakravarty",122 min,122,min,romance,amazon
9340,Delusion,movie,2016,"Mirtel Pohla, Priit Võigemast, Mari Abel, Meelis Rämmeld",102 min,102,min,"horror, suspense",amazon
9341,DEFA,tv show,2021,"Önem Pişkin, Ahmet Ataman, Mihca Kılıç, Emre Gürkan Bıyık, Mert Uzunmehmet, Şevval Bektaş",1 Season,1,season,tv shows,amazon
9342,Dancin: It's On,movie,2015,"David Winters, Gary Daniels, Ava Fabian, Whitney Carson, Jordan Clark",90 min,90,min,"arts, entertainment, and culture",amazon
9343,Confessions of an American Bride,movie,2005,"Shannon Elizabeth, Eddie McClintock, Alan Van Sprang",90 min,90,min,comedy,amazon
9344,Cold Turkey,movie,1971,"Dick Van Dyke, Pippa Scott, Tom Poston, Edward Everett Horton, Bob Elliott, Ray Goulding, Bob Newhart",102 min,102,min,comedy,amazon
9345,Clip: El Anti-Friendzone,tv show,2019,"Erick Miranda, Mariam Mendoza, Orlando Pomar, Arlyn Cova, Kareem Franco",1 Season,1,season,tv shows,amazon
9346,Child in the Night,movie,1990,"JoBeth Williams, Tom Skerritt, Season Hubley, Mike Pniewski, Elijah Wood, Darren McGavin",95 min,95,min,"drama, suspense",amazon
9347,Cavendish,tv show,2021,"Maddy Bryce, Ewan Petrie, Robert Carr",1 Season,1,season,"comedy, drama",amazon
9348,Camouflage,movie,2014,"Wolfgang Böck, Tobias Moretti, Petra Morzé, Harald Schrott",88 min,88,min,"action, suspense",amazon
9349,Bermuda Triangle,movie,1996,"Sam Behrens, Susanna Thompson, Lisa Jakub",89 min,89,min,"action, drama",amazon
9350,Bandslam,movie,2009,"Lisa Kudrow, Vanessa Hudgens, Aly Michalka, Scott Porter, Gaelan Connell",111 min,111,min,"comedy, drama, kids",amazon
9351,Bagdad Cafe,movie,1988,"Marianne Sagebrecht, CCH Pounder, Jack Palance, Christine Kaufmann, Monica Calhoun, Darron Flagg, George Aguilar, G. Smokey Campbell, Hans Stadbaur, Alan S. Craig, Apesanahkwat, Ronald Lee Jarvis, Mark Daneri, Ray Young, Gary Lee Davis",92 min,92,min,"comedy, drama",amazon
9352,Attack of the Unknown,movie,2020,"Richard Grieco, Jolene Andersen, Douglas Tait, Tara Reid, Johnny Huang, Robert Donavan",103 min,103,min,"action, horror, science fiction",amazon
9353,Apology for Murder,movie,1945,"Ann Savage, Hugh Beaumont",64 min,64,min,"drama, suspense",amazon
9354,Amnesia,tv show,2004,"Anthony Calf, John Hannah, Jemma Redgrave, Brendan Coyle, Beatriz Batarda",1 Season,1,season,tv shows,amazon
9355,All That Matters,movie,2021,"Christopher Martin, Pamela Ricardo, Monyetta Shaw, Jessica E. Brandon",80 min,80,min,"comedy, romance",amazon
9356,Zombie Massacre,movie,2013,"Christian Boeving, Mike Mitchell, Tara Cardinal",91 min,91,min,"action, horror, science fiction",amazon
9357,Videola,movie,2016,"Sean Young, Gil Zabarsky, Janet Zarish, Micheal Pemberton, Samantha Rothermel, Taylor Pfenning, Adrienne Pluta, Jordan Myrick",72 min,72,min,drama,amazon
9358,Unspeakable,movie,2003,"Pavan Grover, Michelle Wolff, Dina Meyer, Lance Henricksen, Dennis Hopper, Mark Voltura, Jeff Fahey",109 min,109,min,"drama, horror, suspense",amazon
9359,Top Five,movie,2014,"Chris Rock, Rosario Dawson, Gabrielle Union, Cedric The Entertainer, J.B. Smoove, Tracy Morgan, Kevin Hart",102 min,102,min,comedy,amazon
9360,Timber the Treasure Dog,movie,2016,"Kix Brooks, Wilford Brimley, J.D. Hoppe",89 min,89,min,"action, kids",amazon
