indice,titulo,clasificacion,fecha_de_estreno,elenco,duracion,duracion_cantidad,duracion_minOSeason,lista_de_generos,plataforma
20507,Bitch,movie,2017,"Jason Ritter, Jaime King, Marianna Palka, Brighton Sharbino, Rio Mangini, Jason Maybaum, Kingston Foster, Arielle Kebbel, Martin Starr, Roger Guenveur Smith, Caroline Aaron, Bill Smitrovich",97 min,97,min,"comedies, dramas, independent movies",netflix
20508,Bitcoin Heist,movie,2016,"Kate Nhung, Thanh Pham, Petey Majik Nguyen, Suboi, Jayvee Mai The Hiep, Lam Thanh My",116 min,116,min,"action & adventure, comedies, international movies",netflix
20509,Bitten,tv show,2016,"Laura Vandervoort, Greyston Holt, Greg Bryk, Steve Lund, Paul Greene, Michael Xavier, Genelle Williams",3 Seasons,3,season,"international tv shows, tv dramas, tv horror",netflix
20510,Bitter Daisies,tv show,2018,"María Mera, Toni Salgado, Miquel Insua, Denis Gómez, Lucía Álvarez, Sara Sanz, Jimmy Núñez, Paloma Saavedra, Manuel Cortés, Yelena Molina, Ricardo de Barreiro, Nerea Barros, Santiago Cuquejo, Martina Stetson, Carlos Villarino",1 Season,1,season,"crime tv shows, international tv shows, tv dramas",netflix
20511,Bittoo Boss,movie,2012,"Pulkit Samrat, Ashok Pathak, Tanvir Singh, Amita Pathak, Sunil Shetty, Rajendra Sethi, Mohan Kapoor",117 min,117,min,"comedies, dramas, international movies",netflix
20512,Black & Privileged: Volume 1,movie,2019,"Dawnisha Halfkenny, Simeon Henderson, Corey Hendrix, Malcom Banks, Nadia Simms, Brian White, Brely Evans, Cynda Williams, Carl Anthony Payne II",79 min,79,min,dramas,netflix
20513,Black Hawk Down,movie,2001,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana, William Fichtner, Ewen Bremner, Sam Shepard, Gabriel Casseus, Kim Coates, Hugh Dancy, Ron Eldard, Ioan Gruffudd, Tom Guiry, Charlie Hofheimer, Danny Hoch, Jason Isaacs, Zeljko Ivanek, Glenn Morshower, Jeremy Piven, Brendan Sexton III",144 min,144,min,"action & adventure, dramas",netflix
20514,Black Heart,tv show,2014,"Barış Kılıç, Tuvana Türkay, Serhat Tutumluer, Gülçin Santırcıoğlu, Kenan Bal",1 Season,1,season,"crime tv shows, international tv shows, tv dramas",netflix
20515,Black Man White Skin,movie,2015,sin dato,79 min,79,min,"documentaries, international movies",netflix
20516,Black Panther,movie,2018,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee",135 min,135,min,"action & adventure, sci-fi & fantasy",netflix
20517,Black Site Delta,movie,2017,"Cam Gigandet, Teri Reeves, Michael Dale, Dion Mucciacito, Casey Hendershot, Benjamin Charles Watson, John Brodsky, Arash Mokhtar",88 min,88,min,action & adventure,netflix
20518,Black Snake Moan,movie,2007,"Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson, John Cothran, David Banner, Michael Raymond-James, Adriane Lenox, Kim Richards, Neimus K. Williams",116 min,116,min,"dramas, independent movies",netflix
20519,Black Snow,movie,2017,"Ricardo Darín, Leonardo Sbaraglia, Laia Costa, Federico Luppi, Dolores Fonzi, Andrés Herrera",91 min,91,min,"dramas, international movies, thrillers",netflix
20520,Blackfish,movie,2013,sin dato,83 min,83,min,documentaries,netflix
20521,Blackway,movie,2015,"Anthony Hopkins, Julia Stiles, Alexander Ludwig, Ray Liotta, Hal Holbrook, Lochlyn Munro, Steve Bacic, Aaron Pearl, Aleks Paunovic",90 min,90,min,thrillers,netflix
20522,Blaze,movie,2018,"Benjamin Dickey, Alia Shawkat, Josh Hamilton, Charlie Sexton, Sam Rockwell, Wyatt Russell, Steve Zahn, Kris Kristofferson, Richard Linklater, David Kallaway, Ritchie Montgomery",129 min,129,min,"dramas, independent movies, music & musicals",netflix
20523,Bleed for This,movie,2016,"Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds, Ted Levine, Jordan Gelber, Amanda Clayton, Daniel Sauli, Christine Evangelista, Tina Casciani",120 min,120,min,"dramas, sports movies",netflix
20524,Blinky Bill: The Movie,movie,2015,"Ryan Kwanten, Rufus Sewell, Toni Collette, Robin McLeavy, David Wenham, Barry Humphries, Richard Roxburgh, Deborah Mailman, Barry Otto",91 min,91,min,children & family movies,netflix
20525,Blockbuster,movie,2017,"Syrus Shahidi, Lionel Abelanski, Charlotte Gabris, Tom Hygreck, Sylvain Quimene, Laura Boujenah, Foed Amara",85 min,85,min,"comedies, independent movies, international movies",netflix
